,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss
0,10000,500.0,0,0,T,0.0,Win,1,T,,10000,500.0,1,0,T,1.0,Lose,0,H,,10000,500.0,1,0,T,1.0,Lose,0,H,,10000,500.0,0,0,T,0.0,Win,1,T,,10000,500.0,1,0,T,1.0,Lose,0,H,,10000,500.0,0,0,T,0.0,Win,1,T,,10000,500.0,1,0,T,1.0,Lose,0,H,,10000,500.0,1,0,T,1.0,Lose,0,H,,10000,500.0,0,0,T,0.0,Win,1,T,,10000,500.0,1,0,T,1.0,Lose,0,H
1,10500.0,525.0,1,1,T,0.5,Lose,1,H,,9500.0,475.0,2,1,T,1.0,Lose,0,H,,9500.0,475.0,1,1,T,0.5,Win,1,T,,10500.0,525.0,0,1,T,0.0,Win,2,T,,9500.0,475.0,1,1,T,0.5,Win,1,T,,10500.0,525.0,1,1,T,0.5,Lose,1,H,,9500.0,475.0,1,1,T,0.5,Win,1,T,,9500.0,475.0,2,1,T,1.0,Lose,0,H,,10500.0,525.0,1,1,T,0.5,Lose,1,H,,9500.0,475.0,2,1,T,1.0,Lose,0,H
2,9975.0,498.75,1,2,T,0.3,Win,2,T,,9025.0,451.25,2,2,H,0.7,Lose,1,T,,9975.0,498.75,1,2,T,0.3,Win,2,T,,11025.0,551.25,0,2,T,0.0,Win,3,T,,9975.0,498.75,2,2,T,0.7,Lose,1,H,,9975.0,498.75,2,2,T,0.7,Lose,1,H,,9975.0,498.75,1,2,T,0.3,Win,2,T,,9025.0,451.25,2,2,H,0.7,Lose,1,T,,9975.0,498.75,1,2,T,0.3,Win,2,T,,9025.0,451.25,2,2,H,0.7,Lose,1,T
3,10473.75,523.6875,1,3,T,0.2,Win,3,T,,8573.75,428.6875,2,3,T,0.5,Win,2,T,,10473.75,523.6875,2,3,T,0.5,Lose,2,H,,11576.25,578.8125,1,3,T,0.2,Lose,3,H,,9476.25,473.8125,2,3,T,0.5,Win,2,T,,9476.25,473.8125,3,3,T,0.8,Lose,1,H,,10473.75,523.6875,2,3,T,0.5,Lose,2,H,,8573.75,428.6875,3,3,T,0.8,Lose,1,H,,10473.75,523.6875,1,3,T,0.2,Win,3,T,,8573.75,428.6875,3,3,T,0.8,Lose,1,H
4,10997.4375,549.871875,2,4,T,0.4,Lose,3,H,,9002.4375,450.12187500000005,2,4,T,0.4,Win,3,T,,9950.0625,497.503125,3,4,T,0.6,Lose,2,H,,10997.4375,549.871875,2,4,T,0.4,Lose,3,H,,9950.0625,497.503125,3,4,T,0.6,Lose,2,H,,9002.4375,450.12187500000005,4,4,H,0.8,Win,1,H,,9950.0625,497.503125,2,4,T,0.4,Win,3,T,,8145.0625,407.253125,4,4,H,0.8,Win,1,H,,10997.4375,549.871875,1,4,T,0.2,Win,4,T,,8145.0625,407.253125,4,4,H,0.8,Win,1,H
5,10447.565625,522.37828125,2,5,T,0.3,Win,4,T,,9452.559375,472.62796875000004,2,5,T,0.3,Win,4,T,,9452.559375,472.62796875000004,3,5,T,0.5,Win,3,T,,10447.565625,522.37828125,3,5,T,0.5,Lose,3,H,,9452.559375,472.62796875000004,4,5,T,0.7,Lose,2,H,,9452.559375,472.62796875000004,5,5,H,0.8,Win,1,H,,10447.565625,522.37828125,3,5,T,0.5,Lose,3,H,,8552.315625,427.61578125,5,5,H,0.8,Win,1,H,,11547.309375,577.3654687500001,1,5,T,0.2,Win,5,T,,8552.315625,427.61578125,5,5,H,0.8,Win,1,H
6,10969.943906249999,548.4971953124999,3,6,T,0.4,Lose,4,H,,9925.18734375,496.2593671875,3,6,T,0.4,Lose,4,H,,9925.18734375,496.2593671875,3,6,T,0.4,Win,4,T,,9925.18734375,496.2593671875,4,6,T,0.6,Lose,3,H,,8979.931406250002,448.9965703125001,4,6,H,0.6,Lose,3,T,,9925.18734375,496.2593671875,5,6,H,0.7,Lose,2,T,,9925.18734375,496.2593671875,4,6,T,0.6,Lose,3,H,,8979.93140625,448.9965703125,5,6,H,0.7,Lose,2,T,,12124.674843750001,606.2337421875001,1,6,T,0.1,Win,6,T,,8979.93140625,448.9965703125,6,6,H,0.9,Win,1,H
7,10421.446710937498,521.0723355468749,4,7,T,0.5,Lose,4,H,,9428.9279765625,471.446398828125,3,7,T,0.4,Win,5,T,,10421.4467109375,521.072335546875,3,7,T,0.4,Win,5,T,,9428.9279765625,471.446398828125,4,7,T,0.5,Win,4,T,,8530.934835937502,426.5467417968751,4,7,T,0.5,Win,4,T,,9428.9279765625,471.446398828125,6,7,H,0.8,Win,2,H,,9428.9279765625,471.446398828125,5,7,T,0.6,Lose,3,H,,8530.9348359375,426.54674179687504,6,7,H,0.8,Win,2,H,,12730.9085859375,636.5454292968751,2,7,T,0.2,Lose,6,H,,9428.9279765625,471.446398828125,7,7,H,0.9,Win,1,H
8,9900.374375390624,495.01871876953123,4,8,T,0.4,Win,5,T,,9900.374375390624,495.01871876953123,3,8,T,0.3,Win,6,T,,10942.519046484374,547.1259523242187,4,8,T,0.4,Lose,5,H,,9900.374375390624,495.01871876953123,4,8,T,0.4,Win,5,T,,8957.481577734377,447.8740788867189,4,8,T,0.4,Win,5,T,,9900.374375390624,495.01871876953123,7,8,H,0.8,Win,2,H,,8957.481577734376,447.8740788867188,6,8,H,0.7,Win,3,H,,8957.481577734376,447.8740788867188,7,8,H,0.8,Win,2,H,,12094.363156640626,604.7181578320314,3,8,T,0.3,Lose,6,H,,9900.374375390624,495.01871876953123,7,8,H,0.8,Lose,2,T
9,10395.393094160156,519.7696547080078,4,9,T,0.4,Win,6,T,,10395.393094160156,519.7696547080078,4,9,T,0.4,Lose,6,H,,10395.393094160156,519.7696547080078,4,9,T,0.4,Win,6,T,,10395.393094160156,519.7696547080078,4,9,T,0.4,Win,6,T,,9405.355656621095,470.2677828310548,4,9,T,0.4,Win,6,T,,10395.393094160156,519.7696547080078,7,9,H,0.7,Lose,3,T,,9405.355656621094,470.2677828310547,7,9,H,0.7,Win,3,H,,9405.355656621094,470.2677828310547,8,9,H,0.8,Win,2,H,,11489.644998808595,574.4822499404298,3,9,T,0.3,Win,7,T,,9405.355656621092,470.2677828310546,7,9,H,0.7,Lose,3,T
