,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss
0,10000,1000.0,0,0,T,0.0,Win,1,T,,10000,1000.0,0,0,T,0.0,Win,1,T,,10000,1000.0,0,0,T,0.0,Win,1,T,,10000,1000.0,0,0,T,0.0,Win,1,T,,10000,1000.0,0,0,T,0.0,Win,1,T,,10000,1000.0,0,0,T,0.0,Win,1,T,,10000,1000.0,0,0,T,0.0,Win,1,T,,10000,1000.0,1,0,T,1.0,Lose,0,H,,10000,1000.0,1,0,T,1.0,Lose,0,H,,10000,1000.0,0,0,T,0.0,Win,1,T
1,11000.0,1100.0,1,1,T,0.5,Lose,1,H,,11000.0,1100.0,1,1,T,0.5,Lose,1,H,,11000.0,1100.0,1,1,T,0.5,Lose,1,H,,11000.0,1100.0,1,1,T,0.5,Lose,1,H,,11000.0,1100.0,1,1,T,0.5,Lose,1,H,,11000.0,1100.0,0,1,T,0.0,Win,2,T,,11000.0,1100.0,0,1,T,0.0,Win,2,T,,9000.0,900.0,1,1,T,0.5,Win,1,T,,9000.0,900.0,2,1,T,1.0,Lose,0,H,,11000.0,1100.0,0,1,T,0.0,Win,2,T
2,9900.0,990.0,2,2,T,0.7,Lose,1,H,,9900.0,990.0,2,2,T,0.7,Lose,1,H,,9900.0,990.0,2,2,T,0.7,Lose,1,H,,9900.0,990.0,1,2,T,0.3,Win,2,T,,9900.0,990.0,2,2,T,0.7,Lose,1,H,,12100.0,1210.0,1,2,T,0.3,Lose,2,H,,12100.0,1210.0,1,2,T,0.3,Lose,2,H,,9900.0,990.0,2,2,T,0.7,Lose,1,H,,8100.0,810.0,2,2,H,0.7,Lose,1,T,,12100.0,1210.0,0,2,T,0.0,Win,3,T
3,8910.0,891.0,3,3,T,0.8,Lose,1,H,,8910.0,891.0,2,3,T,0.5,Win,2,T,,8910.0,891.0,3,3,T,0.8,Lose,1,H,,10890.0,1089.0,1,3,T,0.2,Win,3,T,,8910.0,891.0,2,3,T,0.5,Win,2,T,,10890.0,1089.0,2,3,T,0.5,Lose,2,H,,10890.0,1089.0,2,3,T,0.5,Lose,2,H,,8910.0,891.0,2,3,T,0.5,Win,2,T,,7290.0,729.0,3,3,T,0.8,Lose,1,H,,13310.0,1331.0,1,3,T,0.2,Lose,3,H
4,8019.0,801.9000000000001,4,4,H,0.8,Win,1,H,,9801.0,980.1,2,4,T,0.4,Win,3,T,,8019.0,801.9000000000001,3,4,H,0.6,Lose,2,T,,11979.0,1197.9,2,4,T,0.4,Lose,3,H,,9801.0,980.1,3,4,T,0.6,Lose,2,H,,9801.0,980.1,3,4,T,0.6,Lose,2,H,,9801.0,980.1,2,4,T,0.4,Win,3,T,,9801.0,980.1,2,4,T,0.4,Win,3,T,,6561.0,656.1,3,4,H,0.6,Lose,2,T,,11979.0,1197.9,2,4,T,0.4,Lose,3,H
5,8820.9,882.09,5,5,H,0.8,Win,1,H,,10781.1,1078.1100000000001,3,5,T,0.5,Lose,3,H,,7217.1,721.71,3,5,T,0.5,Win,3,T,,10781.1,1078.1100000000001,3,5,T,0.5,Lose,3,H,,8820.9,882.09,3,5,T,0.5,Win,3,T,,8820.9,882.09,4,5,T,0.7,Lose,2,H,,10781.1,1078.1100000000001,2,5,T,0.3,Win,4,T,,10781.1,1078.1100000000001,3,5,T,0.5,Lose,3,H,,5904.9,590.49,3,5,T,0.5,Win,3,T,,10781.1,1078.1100000000001,3,5,T,0.5,Lose,3,H
6,9702.99,970.299,6,6,H,0.9,Win,1,H,,9702.99,970.299,4,6,T,0.6,Lose,3,H,,7938.81,793.8810000000001,4,6,T,0.6,Lose,3,H,,9702.99,970.299,4,6,T,0.6,Lose,3,H,,9702.99,970.299,3,6,T,0.4,Win,4,T,,7938.8099999999995,793.881,5,6,H,0.7,Win,2,H,,11859.210000000001,1185.921,2,6,T,0.3,Win,5,T,,9702.99,970.299,3,6,T,0.4,Win,4,T,,6495.389999999999,649.539,3,6,T,0.4,Win,4,T,,9702.99,970.299,4,6,T,0.6,Lose,3,H
7,10673.289,1067.3289000000002,6,7,H,0.8,Lose,2,T,,8732.690999999999,873.2691,4,7,T,0.5,Win,4,T,,7144.929,714.4929000000001,5,7,T,0.6,Lose,3,H,,8732.690999999999,873.2691,5,7,T,0.6,Lose,3,H,,10673.289,1067.3289000000002,4,7,T,0.5,Lose,4,H,,8732.690999999999,873.2691,6,7,H,0.8,Win,2,H,,13045.131000000001,1304.5131000000001,3,7,T,0.4,Lose,5,H,,10673.289,1067.3289000000002,3,7,T,0.4,Win,5,T,,7144.928999999999,714.4929,4,7,T,0.5,Lose,4,H,,8732.690999999999,873.2691,4,7,T,0.5,Win,4,T
8,9605.9601,960.5960100000001,6,8,H,0.7,Lose,3,T,,9605.960099999998,960.5960099999999,4,8,T,0.4,Win,5,T,,6430.4361,643.0436100000001,5,8,H,0.6,Lose,4,T,,7859.421899999999,785.94219,5,8,H,0.6,Lose,4,T,,9605.9601,960.5960100000001,4,8,T,0.4,Win,5,T,,9605.960099999998,960.5960099999999,7,8,H,0.8,Win,2,H,,11740.617900000001,1174.0617900000002,4,8,T,0.4,Lose,5,H,,11740.617900000001,1174.0617900000002,4,8,T,0.4,Lose,5,H,,6430.436099999999,643.04361,5,8,T,0.6,Lose,4,H,,9605.960099999998,960.5960099999999,4,8,T,0.4,Win,5,T
9,8645.364090000001,864.5364090000002,7,9,H,0.7,Win,3,H,,10566.556109999998,1056.655611,4,9,T,0.4,Win,6,T,,5787.39249,578.7392490000001,5,9,T,0.5,Win,5,T,,7073.47971,707.347971,6,9,T,0.6,Lose,4,H,,10566.55611,1056.655611,5,9,T,0.5,Lose,5,H,,10566.556109999998,1056.655611,8,9,H,0.8,Win,2,H,,10566.556110000001,1056.6556110000001,5,9,T,0.5,Lose,5,H,,10566.556110000001,1056.6556110000001,5,9,T,0.5,Lose,5,H,,5787.392489999999,578.739249,5,9,T,0.5,Win,5,T,,10566.556109999998,1056.655611,4,9,T,0.4,Win,6,T
