,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss
10,4345.178604125977,1086.2946510314941,8,10,H,0.7,Lose,3,T,,12069.940567016602,3017.4851417541504,4,10,T,0.4,Win,7,T,,12069.940567016602,3017.4851417541504,9,10,H,0.8,Win,2,H,,7241.964340209961,1810.4910850524902,5,10,T,0.5,Win,6,T,,4345.178604125977,1086.2946510314941,7,10,H,0.6,Lose,4,T,,2607.107162475586,651.7767906188965,7,10,T,0.6,Lose,4,H,,2607.107162475586,651.7767906188965,7,10,T,0.6,Lose,4,H,,4345.178604125977,1086.2946510314941,7,10,T,0.6,Lose,4,H,,12069.940567016602,3017.4851417541504,4,10,T,0.4,Win,7,T,,12069.940567016602,3017.4851417541504,5,10,T,0.5,Lose,6,H
11,3258.8839530944824,814.7209882736206,9,11,H,0.8,Win,3,H,,15087.425708770752,3771.856427192688,4,11,T,0.3,Win,8,T,,15087.425708770752,3771.856427192688,10,11,H,0.8,Win,2,H,,9052.455425262451,2263.113856315613,6,11,T,0.5,Lose,6,H,,3258.8839530944824,814.7209882736206,8,11,H,0.7,Win,4,H,,1955.3303718566895,488.83259296417236,7,11,H,0.6,Lose,5,T,,1955.3303718566895,488.83259296417236,7,11,H,0.6,Lose,5,T,,3258.8839530944824,814.7209882736206,7,11,H,0.6,Lose,5,T,,15087.425708770752,3771.856427192688,5,11,T,0.4,Lose,7,H,,9052.455425262451,2263.113856315613,6,11,T,0.5,Lose,6,H
12,4073.604941368103,1018.4012353420258,9,12,H,0.7,Lose,4,T,,18859.28213596344,4714.82053399086,4,12,T,0.3,Win,9,T,,18859.28213596344,4714.82053399086,11,12,H,0.8,Win,2,H,,6789.341568946838,1697.3353922367096,7,12,T,0.5,Lose,6,H,,4073.604941368103,1018.4012353420258,8,12,H,0.6,Lose,5,T,,1466.497778892517,366.6244447231293,8,12,T,0.6,Lose,5,H,,1466.497778892517,366.6244447231293,8,12,T,0.6,Lose,5,H,,2444.162964820862,611.0407412052155,8,12,T,0.6,Lose,5,H,,11315.569281578064,2828.892320394516,6,12,T,0.5,Lose,7,H,,6789.341568946838,1697.3353922367096,7,12,T,0.5,Lose,6,H
13,3055.2037060260773,763.8009265065193,10,13,H,0.7,Win,4,H,,23574.1026699543,5893.525667488575,4,13,T,0.3,Win,10,T,,23574.1026699543,5893.525667488575,12,13,H,0.9,Win,2,H,,5092.006176710129,1273.0015441775322,8,13,T,0.6,Lose,6,H,,3055.2037060260773,763.8009265065193,8,13,H,0.6,Lose,6,T,,1099.8733341693878,274.96833354234695,9,13,H,0.6,Win,5,H,,1099.8733341693878,274.96833354234695,8,13,H,0.6,Lose,6,T,,1833.1222236156464,458.2805559039116,8,13,H,0.6,Lose,6,T,,8486.676961183548,2121.669240295887,7,13,T,0.5,Lose,7,H,,5092.006176710129,1273.0015441775322,7,13,T,0.5,Win,7,T
14,3819.0046325325966,954.7511581331491,10,14,H,0.7,Lose,5,T,,29467.628337442875,7366.907084360719,4,14,T,0.3,Win,11,T,,29467.628337442875,7366.907084360719,13,14,H,0.9,Win,2,H,,3819.0046325325966,954.7511581331491,9,14,T,0.6,Lose,6,H,,2291.402779519558,572.8506948798895,8,14,T,0.5,Win,7,T,,1374.8416677117348,343.7104169279337,9,14,H,0.6,Lose,6,T,,824.9050006270409,206.22625015676022,9,14,T,0.6,Lose,6,H,,1374.8416677117348,343.7104169279337,8,14,T,0.5,Win,7,T,,6365.007720887661,1591.2519302219152,8,14,T,0.5,Lose,7,H,,6365.007720887661,1591.2519302219152,8,14,T,0.5,Lose,7,H
15,2864.2534743994474,716.0633685998619,10,15,H,0.6,Lose,6,T,,36834.53542180359,9208.633855450898,5,15,T,0.3,Lose,11,H,,36834.53542180359,9208.633855450898,13,15,H,0.8,Lose,3,T,,2864.2534743994474,716.0633685998619,10,15,H,0.6,Win,6,H,,2864.2534743994474,716.0633685998619,9,15,T,0.6,Lose,7,H,,1031.131250783801,257.78281269595027,9,15,H,0.6,Lose,7,T,,618.6787504702806,154.66968761757016,9,15,H,0.6,Lose,7,T,,1718.5520846396685,429.6380211599171,8,15,T,0.5,Win,8,T,,4773.755790665746,1193.4389476664364,9,15,T,0.6,Lose,7,H,,4773.755790665746,1193.4389476664364,8,15,T,0.5,Win,8,T
16,2148.1901057995856,537.0475264498964,11,16,H,0.6,Win,6,H,,27625.901566352695,6906.475391588174,5,16,T,0.3,Win,12,T,,27625.901566352695,6906.475391588174,14,16,H,0.8,Win,3,H,,3580.3168429993093,895.0792107498273,10,16,H,0.6,Lose,7,T,,2148.1901057995856,537.0475264498964,9,16,T,0.5,Win,8,T,,773.3484380878508,193.3371095219627,9,16,T,0.5,Win,8,T,,464.0090628527105,116.00226571317762,9,16,T,0.5,Win,8,T,,2148.1901057995856,537.0475264498964,9,16,T,0.5,Lose,8,H,,3580.3168429993093,895.0792107498273,10,16,T,0.6,Lose,7,H,,5967.194738332182,1491.7986845830455,8,16,T,0.5,Win,9,T
17,2685.237632249482,671.3094080623705,11,17,H,0.6,Lose,7,T,,34532.37695794087,8633.094239485217,5,17,T,0.3,Win,13,T,,34532.37695794087,8633.094239485217,14,17,H,0.8,Lose,4,T,,2685.237632249482,671.3094080623705,10,17,H,0.6,Lose,8,T,,2685.237632249482,671.3094080623705,10,17,T,0.6,Lose,8,H,,966.6855476098135,241.67138690245338,10,17,T,0.6,Lose,8,H,,580.0113285658881,145.00283214147203,9,17,T,0.5,Win,9,T,,1611.1425793496892,402.7856448374223,10,17,T,0.6,Lose,8,H,,2685.237632249482,671.3094080623705,10,17,H,0.6,Lose,8,T,,7458.993422915228,1864.748355728807,9,17,T,0.5,Lose,9,H
18,2013.9282241871115,503.48205604677787,11,18,H,0.6,Lose,8,T,,43165.471197426086,10791.367799356522,6,18,T,0.3,Lose,13,H,,25899.28271845565,6474.820679613913,15,18,H,0.8,Win,4,H,,2013.9282241871115,503.48205604677787,11,18,T,0.6,Lose,8,H,,2013.9282241871115,503.48205604677787,10,18,T,0.5,Win,9,T,,725.0141607073601,181.25354017684003,10,18,T,0.5,Win,9,T,,725.0141607073601,181.25354017684003,9,18,T,0.5,Win,10,T,,1208.356934512267,302.0892336280667,11,18,T,0.6,Lose,8,H,,2013.9282241871115,503.48205604677787,11,18,T,0.6,Lose,8,H,,5594.245067186421,1398.5612667966052,10,18,T,0.5,Lose,9,H
19,1510.4461681403336,377.6115420350834,11,19,H,0.6,Lose,9,T,,32374.103398069565,8093.525849517391,7,19,T,0.3,Lose,13,H,,32374.103398069565,8093.525849517391,16,19,H,0.8,Win,4,H,,1510.4461681403336,377.6115420350834,11,19,H,0.6,Lose,9,T,,2517.4102802338894,629.3525700584723,11,19,T,0.6,Lose,9,H,,906.2677008842002,226.56692522105004,10,19,T,0.5,Win,10,T,,906.2677008842002,226.56692522105004,10,19,T,0.5,Lose,10,H,,906.2677008842002,226.56692522105004,12,19,H,0.6,Win,8,H,,1510.4461681403336,377.6115420350834,11,19,H,0.6,Lose,9,T,,4195.683800389816,1048.920950097454,11,19,T,0.6,Lose,9,H
20,1132.8346261052502,283.20865652631255,12,20,T,0.6,Lose,9,H,,24280.577548552174,6070.144387138043,7,20,T,0.3,Win,14,T,,40467.629247586956,10116.907311896739,17,20,H,0.8,Win,4,H,,1132.8346261052502,283.20865652631255,11,20,T,0.5,Win,10,T,,1888.057710175417,472.01442754385425,11,20,T,0.5,Win,10,T,,1132.8346261052502,283.20865652631255,11,20,T,0.5,Lose,10,H,,679.7007756631501,169.92519391578753,11,20,T,0.5,Lose,10,H,,1132.8346261052502,283.20865652631255,13,20,H,0.6,Win,8,H,,1132.8346261052502,283.20865652631255,11,20,T,0.5,Win,10,T,,3146.7628502923617,786.6907125730904,12,20,T,0.6,Lose,9,H
