,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount
0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
1,7500.0,7500.0,7500.0,7500.0,12500.0,7500.0,7500.0,7500.0,7500.0,12500.0
2,9375.0,5625.0,9375.0,5625.0,15625.0,9375.0,9375.0,9375.0,5625.0,9375.0
3,11718.75,4218.75,11718.75,7031.25,19531.25,7031.25,7031.25,11718.75,4218.75,7031.25
4,8789.0625,3164.0625,14648.4375,8789.0625,24414.0625,5273.4375,5273.4375,8789.0625,3164.0625,8789.0625
5,6591.796875,2373.046875,10986.328125,10986.328125,18310.546875,3955.078125,3955.078125,6591.796875,3955.078125,6591.796875
6,4943.84765625,1779.78515625,13732.91015625,13732.91015625,22888.18359375,4943.84765625,2966.30859375,8239.74609375,2966.30859375,4943.84765625
7,6179.8095703125,1334.8388671875,17166.1376953125,10299.6826171875,17166.1376953125,6179.8095703125,2224.7314453125,10299.6826171875,3707.8857421875,6179.8095703125
8,4634.857177734375,1668.548583984375,12874.603271484375,12874.603271484375,12874.603271484375,4634.857177734375,1668.548583984375,12874.603271484375,4634.857177734375,4634.857177734375
9,3476.1428833007812,1251.4114379882812,16093.254089355469,16093.254089355469,16093.254089355469,3476.1428833007812,2085.6857299804688,9655.952453613281,5793.571472167969,5793.571472167969
10,4345.178604125977,938.5585784912109,20116.567611694336,20116.567611694336,20116.567611694336,2607.107162475586,1564.2642974853516,12069.940567016602,7241.964340209961,7241.964340209961
11,5431.473255157471,703.9189338684082,25145.70951461792,25145.70951461792,15087.425708770752,1955.3303718566895,1173.1982231140137,15087.425708770752,5431.473255157471,9052.455425262451
12,4073.604941368103,527.9392004013062,18859.28213596344,18859.28213596344,11315.569281578064,1466.497778892517,879.8986673355103,11315.569281578064,6789.341568946838,6789.341568946838
13,3055.2037060260773,659.9240005016327,23574.1026699543,23574.1026699543,8486.676961183548,1099.8733341693878,1099.8733341693878,8486.676961183548,5092.006176710129,5092.006176710129
14,2291.402779519558,494.9430003762245,29467.628337442875,29467.628337442875,10608.346201479435,824.9050006270409,824.9050006270409,6365.007720887661,6365.007720887661,3819.0046325325966
15,2864.2534743994474,618.6787504702806,22100.721253082156,22100.721253082156,7956.259651109576,1031.131250783801,618.6787504702806,7956.259651109576,7956.259651109576,2864.2534743994474
16,2148.1901057995856,464.0090628527105,16575.540939811617,16575.540939811617,5967.194738332182,773.3484380878508,773.3484380878508,5967.194738332182,5967.194738332182,3580.3168429993093
17,2685.237632249482,348.00679713953286,20719.42617476452,20719.42617476452,4475.396053749137,966.6855476098135,580.0113285658881,7458.993422915228,4475.396053749137,2685.237632249482
18,2013.9282241871115,435.0084964244161,25899.28271845565,15539.569631073391,5594.245067186421,1208.356934512267,725.0141607073601,9323.741778644035,5594.245067186421,3356.5470403118525
19,2517.4102802338894,543.7606205305201,19424.46203884174,11654.677223305043,4195.683800389816,906.2677008842002,543.7606205305201,11654.677223305043,6992.806333983026,2517.4102802338894
20,1888.057710175417,407.8204653978901,14568.346529131304,14568.346529131304,3146.7628502923617,1132.8346261052502,679.7007756631501,14568.346529131304,8741.007917478782,3146.7628502923617
21,2360.0721377192713,305.86534904841756,18210.43316141413,18210.43316141413,2360.0721377192713,849.6259695789377,509.7755817473626,10926.259896848478,10926.259896848478,3933.453562865452
22,2950.090172149089,382.33168631052195,13657.824871060599,22763.04145176766,1770.0541032894535,637.2194771842032,382.33168631052195,13657.824871060599,13657.824871060599,4916.816953581815
23,2212.567629111817,286.74876473289146,17072.281088825748,17072.281088825745,2212.567629111817,796.524346480254,477.91460788815243,17072.281088825748,17072.281088825748,3687.612715186361
24,1659.4257218338628,215.0615735496686,12804.21081661931,21340.351361032182,1659.4257218338628,597.3932598601905,597.3932598601905,12804.21081661931,12804.21081661931,2765.7095363897706
25,2074.2821522923286,161.29618016225146,9603.158112464484,16005.263520774137,1244.5692913753971,746.7415748252381,448.04494489514286,16005.263520774137,9603.158112464484,3457.1369204872135
26,2592.852690365411,120.9721351216886,12003.947640580605,12003.947640580602,1555.7116142192465,560.0561811189286,560.0561811189286,12003.947640580602,12003.947640580605,2592.85269036541
27,3241.065862956764,151.21516890211075,9002.960730435454,9002.96073043545,1944.639517774058,420.0421358391965,700.0702263986608,9002.96073043545,15004.934550725757,1944.6395177740576
28,2430.7993972175727,189.01896112763842,11253.700913044318,6752.220547826588,1458.4796383305436,525.0526697989956,875.087782998326,11253.700913044313,11253.700913044318,2430.799397217572
29,1823.0995479131795,141.7642208457288,14067.126141305398,5064.16541086994,1093.8597287479076,393.7895023492467,1093.8597287479074,14067.12614130539,14067.126141305398,1823.0995479131789
30,1367.3246609348846,177.205276057161,17583.90767663175,3798.1240581524553,820.3947965609307,295.342126761935,820.3947965609306,17583.907676631738,10550.344605979048,1367.3246609348842
31,1709.1558261686057,132.90395704287076,21979.884595789685,2848.5930436143417,615.2960974206981,221.50659507145124,1025.4934957011633,13187.930757473803,7912.758454484286,1025.493495701163
32,1281.8668696264542,166.12994630358844,16484.913446842264,3560.7413045179273,461.47207306552355,166.12994630358844,1281.866869626454,16484.913446842253,5934.568840863214,1281.8668696264538
33,961.4001522198407,124.59745972769133,20606.141808552828,2670.5559783884455,576.8400913319044,124.59745972769133,961.4001522198405,12363.685085131689,4450.926630647411,961.4001522198403
34,1201.7501902748008,93.4480947957685,25757.677260691034,3338.194972985557,432.6300684989283,155.74682465961416,1201.7501902748006,15454.60635641461,3338.1949729855583,1201.7501902748004
35,1502.187737843501,116.81011849471062,19318.257945518275,2503.6462297391677,324.47255137419626,116.81011849471062,901.3126427061004,19318.257945518264,2503.6462297391686,901.3126427061003
36,1877.7346723043763,87.60758887103296,24147.822431897843,3129.5577871739597,243.3544135306472,87.60758887103296,675.9844820295752,24147.822431897832,3129.5577871739606,675.9844820295752
37,1408.3010042282822,109.50948608879119,18110.86682392338,3911.9472339674494,304.193016913309,65.70569165327473,844.9806025369691,18110.866823923374,2347.1683403804705,844.9806025369691
38,1760.3762552853527,82.1321145665934,22638.583529904226,4889.934042459312,380.2412711416363,82.1321145665934,633.7354519027268,22638.583529904216,2933.960425475588,1056.2257531712114
39,1320.2821914640144,61.59908592494505,28298.229412380282,3667.450531844484,475.3015889270454,102.66514320824174,792.1693148784085,28298.22941238027,2200.470319106691,1320.2821914640142
40,1650.352739330018,76.99885740618132,21223.67205928521,2750.587898883363,594.1269861588067,128.33142901030217,594.1269861588064,35372.786765475335,1650.3527393300183,1650.3527393300178
41,2062.9409241625226,57.74914305463599,15917.754044463909,3438.2348736042036,742.6587326985084,160.4142862628777,445.5952396191048,44215.98345684417,2062.9409241625226,2062.940924162522
42,2578.676155203153,43.31185729097699,19897.192555579888,2578.6761552031526,556.9940495238814,200.51785782859713,556.994049523881,55269.979321055216,1547.205693121892,2578.6761552031526
43,1934.0071164023648,54.13982161372124,24871.490694474858,3223.345194003941,696.2425619048518,250.6473222857464,417.74553714291073,41452.48449079141,1160.404269841419,3223.345194003941
44,2417.508895502956,40.60486621029093,31089.363368093575,2417.5088955029555,522.1819214286388,187.9854917143098,313.30915285718305,51815.60561348926,1450.5053373017736,2417.5088955029555
45,3021.886119378695,50.75608276286366,23317.02252607018,3021.8861193786943,652.7274017857985,234.98186464288725,391.6364410714788,38861.70421011694,1813.131671627217,3021.8861193786943
46,3777.3576492233688,63.44510345357958,17487.766894552635,2266.4145895340207,489.5455513393489,293.72733080360905,293.7273308036091,48577.13026264618,2266.414589534021,3777.357649223368
47,4721.697061529211,47.58382759018468,13115.825170914475,1699.8109421505155,367.15916350451164,220.2954981027068,367.1591635045114,60721.41282830772,1699.810942150516,2833.018236917526
48,3541.272796146908,35.68787069263851,16394.781463643092,1274.8582066128865,458.9489543806395,275.36937262838353,275.36937262838353,45541.059621230794,1274.858206612887,2124.7636776881445
49,4426.590995183635,26.765903019478884,12296.08609773232,956.1436549596649,573.6861929757994,344.21171578547944,206.52702947128765,56926.32452653849,1593.5727582661088,1593.5727582661084
50,5533.238743979544,20.074427264609163,15370.107622165398,717.1077412197487,717.1077412197492,258.15878683910955,154.89527210346574,71157.90565817311,1991.9659478326362,1991.9659478326355
51,6916.548429974429,25.093034080761456,19212.63452770675,537.8308059148115,537.8308059148119,193.61909012933216,193.61909012933216,88947.3820727164,1493.9744608744772,1493.9744608744766
52,8645.685537468036,31.36629260095182,14409.475895780062,403.37310443610863,403.3731044361089,242.0238626616652,145.21431759699914,66710.5365545373,1867.4680760930964,1867.4680760930958
53,6484.264153101027,39.20786575118977,18011.84486972508,302.5298283270815,504.21638054513613,181.5178969962489,181.5178969962489,83388.17069317163,2334.3350951163707,1400.6010570698218
54,8105.330191376283,49.00983218898722,22514.80608715635,226.8973712453111,378.1622854088521,136.13842274718667,136.13842274718667,104235.21336646454,2917.918868895463,1750.7513213372772
55,6078.997643532212,36.757374141740414,28143.507608945438,283.6217140566389,283.62171405663906,102.10381706039,102.10381706039,78176.4100248484,3647.398586119329,1313.063491002958
56,4559.248232649159,45.94671767717551,35179.384511181794,212.71628554247917,354.52714257079884,76.5778627952925,127.6297713254875,58632.3075186363,4559.248232649162,984.7976182522185
57,5699.060290811449,57.43339709646939,26384.538383386345,265.895356928099,265.89535692809915,57.43339709646938,159.53721415685936,73290.38439829537,5699.060290811452,1230.997022815273
58,4274.295218108587,71.79174637058674,19788.40378753976,332.3691961601237,199.42151769607437,71.79174637058672,199.4215176960742,54967.78829872153,7123.8253635143155,1538.7462785190914
59,3205.72141358144,89.73968296323342,24735.5047344247,249.27689712009277,249.27689712009297,53.84380977794004,249.27689712009277,41225.84122404114,5342.869022635737,1154.0597088893187
60,2404.2910601860804,67.30476222242507,30919.380918030874,186.95767284006956,311.5961214001162,67.30476222242504,311.596121400116,30919.380918030856,4007.1517669768027,1442.5746361116485
61,1803.2182951395603,84.13095277803134,38649.22614753859,233.69709105008695,389.4951517501453,50.47857166681878,233.69709105008698,38649.22614753857,3005.363825232602,1803.2182951395607
62,2254.0228689244504,105.16369097253917,28986.919610653942,175.2728182875652,486.86893968768163,63.09821458352347,175.27281828756523,48311.53268442321,3756.7047815407523,1352.4137213546705
63,1690.5171516933378,78.87276822940439,21740.189707990456,219.0910228594565,365.1517047657612,78.87276822940434,131.45461371567393,36233.64951331741,4695.880976925941,1690.5171516933383
64,1267.8878637700034,98.59096028675549,16305.14228099284,164.31826714459237,456.43963095720153,59.154576172053254,98.59096028675545,27175.237134988056,5869.851221157425,1267.8878637700036
65,950.9158978275025,123.23870035844436,20381.427851241053,205.39783393074046,570.5495386965019,44.36593212903994,73.94322021506659,20381.427851241042,7337.314026446782,950.9158978275027
66,1188.6448722843782,154.04837544805545,25476.784814051316,154.04837544805534,713.1869233706275,55.45741516129993,92.42902526883324,15286.070888430782,9171.642533058477,1188.6448722843784
67,891.4836542132837,192.56046931006932,19107.588610538485,115.5362815860415,534.8901925279706,41.593061370974944,115.53628158604155,11464.553166323087,6878.731899793858,891.4836542132838
68,1114.3545677666045,240.70058663758664,14330.691457903864,86.65221118953113,401.16764439597796,31.19479602823121,86.65221118953116,8598.414874742315,8598.414874742322,668.6127406599628
69,1392.9432097082556,180.52543997818998,17913.364322379828,64.98915839214834,300.87573329698347,23.396097021173407,108.31526398691395,10748.018593427894,10748.018593427903,835.7659258249535
70,1741.1790121353195,135.39407998364248,22391.705402974785,48.741868794111255,376.09466662122935,17.547072765880056,81.23644799018547,13435.023241784867,13435.023241784878,1044.7074072811918
71,1305.8842591014895,101.54555998773186,16793.77905223109,36.55640159558344,282.070999965922,13.160304574410041,101.54555998773183,10076.26743133865,16793.779052231097,1305.8842591014898
72,1632.3553238768618,76.1591699907989,12595.334289173317,27.41730119668758,211.55324997444148,16.450380718012553,126.9319499846648,12595.334289173314,20992.22381528887,979.4131943261173
73,2040.4441548460773,57.11937749309918,9446.500716879988,34.27162649585947,264.44156246805187,20.56297589751569,95.1989624884986,15744.167861466642,15744.167861466653,1224.2664929076466
74,1530.333116134558,71.39922186637398,7084.875537659991,42.83953311982434,198.3311718510389,15.422231923136769,71.39922186637395,19680.209826833303,19680.209826833314,1530.3331161345582
75,1912.9163951681974,89.24902733296747,8856.094422074988,32.12964983986825,148.74837888827918,11.566673942352576,53.54941639978046,14760.157370124976,24600.26228354164,1147.7498371009187
76,1434.687296376148,66.93677049972561,11070.118027593735,24.097237379901188,185.93547361034896,14.458342427940721,40.16206229983535,11070.118027593733,18450.19671265623,860.812377825689
77,1793.359120470185,50.20257787479421,13837.64753449217,30.121546724876485,139.45160520776173,18.0729280349259,30.12154672487651,13837.647534492167,13837.647534492173,1076.0154722821112
78,1345.0193403526387,37.65193340609566,10378.235650869126,37.65193340609561,104.58870390582129,22.591160043657375,37.65193340609564,17297.05941811521,10378.23565086913,1345.0193403526391
79,1008.764505264479,47.06491675761957,7783.676738151845,28.238950054571706,78.44152792936598,28.238950054571717,47.06491675761954,12972.794563586405,12972.794563586413,1008.7645052644793
80,1260.9556315805987,58.83114594702447,5837.757553613884,21.17921254092878,58.83114594702448,21.179212540928788,35.29868756821466,9729.595922689805,9729.595922689809,1260.9556315805992
81,945.7167236854491,44.12335946026835,7297.196942017355,26.474015676160974,73.5389324337806,26.474015676160985,26.474015676160995,12161.994903362256,12161.994903362262,945.7167236854493
82,709.2875427640868,55.15419932533543,5472.897706513016,33.09251959520122,91.92366554222575,33.09251959520123,33.092519595201246,9121.496177521693,9121.496177521696,709.287542764087
83,531.9656570730651,41.36564949400157,4104.6732798847615,24.81938969640091,68.94274915666931,41.36564949400154,24.819389696400933,11401.870221902116,11401.87022190212,886.6094284551087
84,664.9570713413314,31.02423712050118,5130.841599855952,31.02423712050114,51.70706186750198,31.024237120501155,18.6145422723007,8551.402666426588,14252.33777737765,1108.261785568886
85,498.7178035059985,23.268177840375884,3848.131199891964,23.268177840375856,38.78029640062648,23.268177840375866,13.960906704225525,10689.253333033234,10689.253333033237,831.1963391766644
86,623.3972543824982,17.451133380281913,4810.163999864955,29.08522230046982,48.4753705007831,29.085222300469834,10.470680028169145,13361.566666291543,13361.566666291546,623.3972543824983
87,779.2465679781228,21.813916725352392,3607.6229998987164,36.356527875587275,60.594213125978875,21.813916725352374,13.08835003521143,10021.174999718656,16701.958332864433,779.2465679781229
88,974.0582099726535,27.26739590669049,4509.528749873396,45.4456598444841,75.7427664074736,16.36043754401428,16.36043754401429,7515.881249788992,20877.447916080542,974.0582099726537
89,1217.5727624658168,34.08424488336311,3382.146562405047,34.08424488336307,56.8070748056052,12.270328158010711,12.270328158010717,9394.85156223624,15658.085937060407,1217.572762465817
90,1521.965953082271,42.60530610420389,2536.6099218037853,25.563183662522302,71.0088435070065,15.33791019751339,15.337910197513395,11743.564452795299,11743.564452795305,913.1795718493628
91,1902.4574413528387,31.953979578152918,1902.457441352839,19.172387746891726,53.25663263025488,11.503432648135043,11.503432648135046,14679.455565994123,8807.673339596478,1141.4744648117035
92,2378.071801691048,23.96548468361469,1426.8430810146292,23.965484683614658,66.5707907878186,14.379290810168804,8.627574486101285,18349.319457492653,11009.591674495598,1426.8430810146292
93,1783.553851268286,17.974113512711018,1070.132310760972,17.974113512710993,49.928093090863946,10.784468107626603,10.784468107626605,22936.649321865814,8257.193755871698,1783.5538512682865
94,1337.6653884512145,22.46764189088877,1337.6653884512148,13.480585134533245,62.41011636357993,8.088351080719953,8.088351080719953,17202.48699139936,10321.492194839622,2229.4423140853582
95,1672.0817355640181,16.85073141816658,1672.0817355640183,10.110438850899934,78.01264545447492,10.110438850899941,6.066263310539965,12901.86524354952,7741.119146129717,2786.8028926066977
96,2090.1021694550227,12.638048563624935,1254.0613016730138,7.582829138174951,58.50948409085619,12.638048563624926,4.549697482904973,16127.3315544369,5805.8393595972875,3483.5036157583722
97,2612.627711818778,15.797560704531168,940.5459762547603,5.687121853631213,43.88211306814215,9.478536422718694,5.687121853631217,20159.164443046124,4354.379519697965,4354.379519697965
98,3265.784639773473,11.848170528398377,1175.6824703184502,4.26534139022341,32.91158480110661,11.848170528398366,7.108902317039021,15119.373332284593,3265.784639773474,3265.784639773474
99,4082.230799716841,14.810213160497971,1469.6030878980628,5.331676737779263,41.13948100138327,8.886127896298774,5.331676737779266,18899.21666535574,2449.3384798301054,4082.2307997168423
100,3061.6730997876307,11.107659870373478,1837.0038598725785,6.664595922224079,51.424351251729085,11.107659870373467,3.9987575533344497,23624.020831694674,1837.0038598725791,3061.6730997876316
101,2296.254824840723,13.884574837966849,1377.7528949044338,4.998446941668059,38.56826343879681,13.884574837966834,2.9990681650008373,17718.015623771003,2296.254824840724,3827.0913747345394
102,2870.3185310509034,17.35571854745856,1722.1911186305422,6.248058677085073,48.21032929849601,17.355718547458544,2.249301123750628,13288.511717828253,2870.3185310509048,4783.8642184181745
