,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount
10,9797.080188020798,9797.080188020796,9603.078600139197,10402.918600140796,9226.524199584772,9603.078600139197,9797.080188020796,9995.000999900003,9797.080188020798,10196.920212019197,9412.918627859211,9797.080188020796,10613.078571860815,9995.000999900007,10196.920212019199,10196.920212019197,10196.920212019199,10402.9186001408,9603.078600139197,9995.000999900005,10196.920212019199,10402.918600140798,10402.918600140796,10613.078571860813,10196.920212019197,9603.078600139197,9797.0801880208,9995.000999900007,10196.920212019195,9995.000999900003,9995.000999900005,9797.080188020798,9995.000999900003,9995.000999900005,10196.920212019199,9797.080188020796,9603.078600139199,9797.080188020798,10196.920212019197,10402.918600140796,9995.000999900005,9797.080188020796,9797.080188020796,9797.080188020798,9797.0801880208,10196.920212019195,10402.9186001408,10196.920212019199,10402.918600140796,9603.078600139195
11,9699.10938614059,9895.050989901005,9507.047814137804,10506.947786142204,9134.258957588923,9699.10938614059,9699.109386140588,9895.050989901003,9699.10938614059,10298.889414139388,9318.789441580619,9895.050989901005,10506.947786142207,9895.050989901007,10094.951009899007,10094.951009899005,10094.951009899007,10298.889414139392,9507.047814137804,10094.951009899005,10094.951009899007,10298.88941413939,10298.889414139388,10719.20935757942,10298.889414139388,9699.10938614059,9895.050989901009,10094.951009899007,10298.889414139387,10094.951009899003,9895.050989901005,9699.10938614059,10094.951009899003,9895.050989901005,10298.88941413939,9699.109386140588,9507.047814137806,9895.050989901007,10094.951009899005,10298.889414139388,9895.050989901005,9699.109386140588,9699.109386140588,9699.10938614059,9895.050989901009,10094.951009899003,10506.947786142207,10094.951009899007,10506.947786142204,9507.047814137803
12,9796.100480001996,9796.100480001995,9602.118292279183,10612.017264003625,9225.601547164813,9602.118292279183,9602.118292279181,9796.100480001993,9602.118292279183,10401.878308280782,9411.977335996426,9994.001499800015,10401.878308280786,9796.100480001996,10195.900519997997,10195.900519997995,10195.900519997997,10401.878308280786,9411.977335996426,9994.001499800015,10195.900519997997,10401.878308280784,10195.900519997995,10826.401451155214,10195.900519997995,9602.118292279183,9994.001499800019,9994.001499800017,10195.900519997993,10195.900519997993,9994.001499800015,9602.118292279183,10195.900519997993,9994.001499800015,10195.900519997997,9796.100480001995,9411.977335996427,9994.001499800017,9994.001499800015,10195.900519997995,9994.001499800015,9796.100480001995,9796.100480001995,9796.100480001996,9796.100480001998,9994.001499800013,10401.878308280786,9994.001499800017,10401.878308280782,9602.118292279181
13,9894.061484802016,9698.139475201975,9506.097109356391,10718.137436643661,9133.345531693165,9506.097109356391,9506.09710935639,9894.061484802012,9506.097109356391,10297.859525197975,9506.09710935639,9894.061484802016,10297.859525197979,9698.139475201977,10297.859525197977,10297.859525197975,10297.859525197977,10297.859525197979,9317.857562636462,10093.941514798014,10297.859525197977,10297.859525197977,10093.941514798014,10934.665465666767,10093.941514798014,9506.097109356391,9894.061484802018,9894.061484802016,10297.859525197973,10093.941514798013,9894.061484802016,9506.097109356391,10297.859525197973,10093.941514798014,10297.859525197977,9698.139475201975,9506.097109356391,9894.061484802016,10093.941514798014,10297.859525197975,9894.061484802016,9698.139475201975,9894.061484802014,9698.139475201977,9894.061484802018,10093.941514798013,10297.859525197979,9894.061484802016,10297.859525197975,9506.09710935639
14,9795.120869953997,9601.158080449955,9601.158080449955,10825.318811010098,9042.012076376233,9601.158080449955,9411.036138262825,9795.120869953993,9411.036138262827,10194.880929945995,9411.036138262825,9993.002099650035,10400.838120449958,9601.158080449957,10194.880929945997,10400.838120449955,10194.880929945997,10194.880929945999,9224.678987010097,10194.880929945995,10194.880929945997,10400.838120449956,9993.002099650033,10825.3188110101,10194.880929945995,9411.036138262827,9795.120869953998,9993.002099650035,10194.880929945994,9993.002099650032,9795.120869953997,9411.036138262827,10194.880929945994,9993.002099650033,10400.838120449956,9601.158080449955,9411.036138262827,9993.002099650035,10194.880929945995,10400.838120449955,9795.120869953997,9795.120869953995,9993.002099650033,9601.158080449957,9993.002099650037,9993.002099650032,10194.880929945999,9795.120869953997,10194.880929945995,9411.036138262825
15,9697.169661254457,9697.169661254455,9697.169661254455,10933.571999120199,9132.432197139995,9697.169661254455,9316.925776880196,9893.072078653533,9316.925776880198,10092.932120646536,9316.925776880196,9893.072078653535,10504.846501654458,9697.169661254457,10296.829739245457,10296.829739245455,10296.829739245457,10296.829739245459,9132.432197139995,10092.932120646536,10092.932120646537,10296.829739245457,9893.072078653533,10717.0656229,10092.932120646536,9316.925776880198,9697.169661254458,9893.072078653535,10092.932120646534,10092.932120646532,9697.169661254457,9316.925776880198,10092.932120646534,10092.932120646534,10296.829739245457,9505.146499645456,9505.146499645456,10092.932120646536,10296.829739245455,10296.829739245455,9697.169661254457,9697.169661254455,9893.072078653533,9505.146499645458,10092.932120646537,10092.932120646532,10296.829739245459,9697.169661254457,10296.829739245455,9505.146499645454
16,9794.141357867002,9794.141357867,9600.19796464191,11042.907719111401,9041.107875168595,9794.141357867,9223.756519111394,9794.141357866998,9223.756519111395,10193.861441853001,9223.756519111394,9794.141357867,10609.894966671003,9794.141357867002,10399.79803663791,10193.861441853001,10193.861441853003,10193.861441853005,9223.756519111395,10193.861441853001,9992.002799440072,10193.861441853003,9992.002799440068,10824.236279129,10193.861441853001,9223.756519111395,9794.141357867004,9794.141357867,10193.861441853,10193.861441852998,9794.141357867002,9410.095034649,9992.002799440068,9992.002799440068,10193.861441853003,9600.197964641911,9410.095034649,10193.861441853001,10193.861441853001,10399.798036637909,9794.141357867002,9600.19796464191,9992.002799440068,9600.197964641913,9992.002799440072,10193.861441852998,10193.861441853005,9794.141357867002,10399.798036637909,9410.095034648999
17,9696.199944288332,9892.08277144567,9696.199944288328,11153.336796302516,8950.696796416909,9696.19994428833,9131.51895392028,9696.199944288328,9315.994084302509,10295.800056271532,9315.994084302507,9892.08277144567,10503.796017004293,9892.082771445672,10295.800056271532,10295.800056271532,10091.922827434473,10295.800056271535,9315.994084302509,10295.800056271532,10091.922827434473,10295.800056271533,9892.082771445668,10715.99391633771,10091.922827434471,9315.994084302509,9696.199944288333,9696.19994428833,10091.92282743447,10091.922827434468,9696.199944288332,9504.195984995491,10091.922827434468,9892.082771445668,10295.800056271533,9504.195984995493,9315.99408430251,10295.800056271532,10091.922827434471,10295.80005627153,9892.082771445672,9696.199944288328,9892.082771445668,9504.195984995495,9892.08277144567,10295.800056271528,10091.922827434475,9892.082771445672,10295.80005627153,9315.994084302509
18,9599.237944845449,9793.161943731213,9793.161943731211,11041.80342833949,8861.18982845274,9599.237944845447,9222.834143459482,9599.237944845445,9222.834143459484,10398.758056834247,9222.834143459482,9991.003599160127,10608.833977174336,9793.161943731215,10192.842055708816,10192.842055708816,9991.003599160129,10398.758056834251,9222.834143459484,10398.758056834247,10192.842055708817,10192.842055708817,9991.003599160125,10823.153855501087,10192.842055708816,9409.154025145534,9599.23794484545,9793.161943731213,10192.842055708814,10192.842055708812,9793.161943731215,9599.237944845447,9991.003599160123,9793.161943731211,10192.842055708817,9409.154025145537,9409.154025145535,10398.758056834247,9991.003599160127,10192.842055708814,9793.161943731215,9793.161943731211,9793.161943731211,9409.154025145539,9793.161943731213,10398.758056834244,10192.84205570882,9991.003599160129,10192.842055708814,9409.154025145534
19,9503.245565396994,9695.230324293902,9891.093563168522,11152.221462622885,8772.577930168212,9695.230324293902,9315.062484894077,9695.2303242939,9315.062484894079,10294.770476265905,9315.062484894077,10090.913635151728,10714.922316946078,9891.093563168526,10090.913635151728,10294.770476265903,10090.91363515173,10294.770476265909,9315.062484894079,10502.74563740259,10090.91363515173,10294.770476265905,10090.913635151726,10714.922316946077,10294.770476265903,9315.062484894079,9695.230324293905,9695.230324293902,10090.913635151726,10294.7704762659,9891.093563168526,9695.230324293902,10090.913635151725,9695.2303242939,10090.91363515173,9503.245565396992,9503.24556539699,10502.74563740259,9891.093563168526,10090.913635151726,9695.230324293903,9891.093563168522,9891.093563168522,9315.062484894084,9695.230324293902,10294.770476265901,10090.913635151732,10090.91363515173,10294.770476265901,9503.245565396988
