,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails,0,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails,0,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails,0,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails,0,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails,0,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails,0,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails,0,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails,0,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails,0,Number,Amount,Bet,Probability,Predication,Toss,Result,Heads,Tails,0
0,10000,7500.0,0.0,H,T,Lose,0,1,,0,10000,7500.0,0.0,H,T,Lose,0,1,,0,10000,7500.0,0.0,H,T,Lose,0,1,,0,10000,7500.0,1.0,H,H,Win,1,0,,0,10000,7500.0,0.0,H,T,Lose,0,1,,0,10000,7500.0,1.0,H,H,Win,1,0,,0,10000,7500.0,0.0,H,T,Lose,0,1,,0,10000,7500.0,0.0,H,T,Lose,0,1,,0,10000,7500.0,1.0,H,H,Win,1,0,,0,10000,7500.0,1.0,H,H,Win,1,0,
1,2500.0,1875.0,0.0,T,T,Win,0,2,,1,2500.0,1875.0,0.5,T,H,Lose,1,1,,1,2500.0,1875.0,0.5,T,H,Lose,1,1,,1,17500.0,13125.0,1.0,T,H,Lose,2,0,,1,2500.0,1875.0,0.5,T,H,Lose,1,1,,1,17500.0,13125.0,0.5,T,T,Win,1,1,,1,2500.0,1875.0,0.5,T,H,Lose,1,1,,1,2500.0,1875.0,0.0,T,T,Win,0,2,,1,17500.0,13125.0,0.5,T,T,Win,1,1,,1,17500.0,13125.0,0.5,H,T,Lose,1,1,
2,4375.0,3281.25,0.0,T,T,Win,0,3,,2,625.0,468.75,0.7,T,H,Lose,2,1,,2,625.0,468.75,0.3,T,T,Win,1,2,,2,4375.0,3281.25,0.7,H,T,Lose,2,1,,2,625.0,468.75,0.7,T,H,Lose,2,1,,2,30625.0,22968.75,0.7,T,H,Lose,2,1,,2,625.0,468.75,0.7,T,H,Lose,2,1,,2,4375.0,3281.25,0.0,T,T,Win,0,3,,2,30625.0,22968.75,0.3,T,T,Win,1,2,,2,4375.0,3281.25,0.7,T,H,Lose,2,1,
3,7656.25,5742.1875,0.2,T,H,Lose,1,3,,3,156.25,117.1875,0.5,H,T,Lose,2,2,,3,1093.75,820.3125,0.5,T,H,Lose,2,2,,3,1093.75,820.3125,0.5,H,T,Lose,2,2,,3,156.25,117.1875,0.8,H,H,Win,3,1,,3,7656.25,5742.1875,0.8,T,H,Lose,3,1,,3,156.25,117.1875,0.8,H,H,Win,3,1,,3,7656.25,5742.1875,0.0,T,T,Win,0,4,,3,53593.75,40195.3125,0.5,T,H,Lose,2,2,,3,1093.75,820.3125,0.8,H,H,Win,3,1,
4,1914.0625,1435.546875,0.2,T,T,Win,1,4,,4,39.0625,29.296875,0.6,T,H,Lose,3,2,,4,273.4375,205.078125,0.6,T,H,Lose,3,2,,4,273.4375,205.078125,0.4,T,T,Win,2,3,,4,273.4375,205.078125,0.8,H,H,Win,4,1,,4,1914.0625,1435.546875,0.8,H,H,Win,4,1,,4,273.4375,205.078125,0.8,H,H,Win,4,1,,4,13398.4375,10048.828125,0.2,T,H,Lose,1,4,,4,13398.4375,10048.828125,0.4,T,T,Win,2,3,,4,1914.0625,1435.546875,0.8,H,H,Win,4,1,
5,3349.609375,2512.20703125,0.3,T,H,Lose,2,4,,5,9.765625,7.32421875,0.7,T,H,Lose,4,2,,5,68.359375,51.26953125,0.7,H,H,Win,4,2,,5,478.515625,358.88671875,0.5,T,H,Lose,3,3,,5,478.515625,358.88671875,0.8,H,H,Win,5,1,,5,3349.609375,2512.20703125,0.8,H,H,Win,5,1,,5,478.515625,358.88671875,0.7,H,T,Lose,4,2,,5,3349.609375,2512.20703125,0.2,T,T,Win,1,5,,5,23447.265625,17585.44921875,0.5,T,H,Lose,3,3,,5,3349.609375,2512.20703125,0.7,H,T,Lose,4,2,
6,837.40234375,628.0517578125,0.3,T,T,Win,2,5,,6,2.44140625,1.8310546875,0.6,H,T,Lose,4,3,,6,119.62890625,89.7216796875,0.6,H,T,Lose,4,3,,6,119.62890625,89.7216796875,0.6,T,H,Lose,4,3,,6,837.40234375,628.0517578125,0.9,H,H,Win,6,1,,6,5861.81640625,4396.3623046875,0.7,H,T,Lose,5,2,,6,119.62890625,89.7216796875,0.6,H,T,Lose,4,3,,6,5861.81640625,4396.3623046875,0.1,T,T,Win,1,6,,6,5861.81640625,4396.3623046875,0.4,T,T,Win,3,4,,6,837.40234375,628.0517578125,0.6,H,T,Lose,4,3,
7,1465.4541015625,1099.090576171875,0.4,T,H,Lose,3,5,,7,0.6103515625,0.457763671875,0.5,H,T,Lose,4,4,,7,29.9072265625,22.430419921875,0.5,H,T,Lose,4,4,,7,29.9072265625,22.430419921875,0.6,T,H,Lose,5,3,,7,1465.4541015625,1099.090576171875,0.9,H,H,Win,7,1,,7,1465.4541015625,1099.090576171875,0.8,H,H,Win,6,2,,7,29.9072265625,22.430419921875,0.6,H,H,Win,5,3,,7,10258.1787109375,7693.634033203125,0.1,T,T,Win,1,7,,7,10258.1787109375,7693.634033203125,0.4,T,T,Win,3,5,,7,209.3505859375,157.012939453125,0.6,T,H,Lose,5,3,
8,366.363525390625,274.77264404296875,0.3,T,T,Win,3,6,,8,0.152587890625,0.11444091796875,0.6,T,H,Lose,5,4,,8,7.476806640625,5.60760498046875,0.6,T,H,Lose,5,4,,8,7.476806640625,5.60760498046875,0.6,H,T,Lose,5,4,,8,2564.544677734375,1923.4085083007812,0.9,H,H,Win,8,1,,8,2564.544677734375,1923.4085083007812,0.7,H,T,Lose,6,3,,8,52.337646484375,39.25323486328125,0.7,H,H,Win,6,3,,8,17951.812744140625,13463.859558105469,0.1,T,T,Win,1,8,,8,17951.812744140625,13463.859558105469,0.4,T,H,Lose,4,5,,8,52.337646484375,39.25323486328125,0.6,H,T,Lose,5,4,
9,641.1361694335938,480.8521270751953,0.4,T,H,Lose,4,6,,9,0.03814697265625,0.0286102294921875,0.6,H,H,Win,6,4,,9,1.86920166015625,1.4019012451171875,0.5,H,T,Lose,5,5,,9,1.86920166015625,1.4019012451171875,0.5,H,T,Lose,5,5,,9,4487.953186035156,3365.964889526367,0.8,H,T,Lose,8,2,,9,641.1361694335938,480.8521270751953,0.7,H,H,Win,7,3,,9,91.59088134765625,68.69316101074219,0.6,H,T,Lose,6,4,,9,31415.672302246094,23561.75422668457,0.2,T,H,Lose,2,8,,9,4487.953186035156,3365.964889526367,0.4,T,T,Win,4,6,,9,13.08441162109375,9.813308715820312,0.6,H,H,Win,6,4,
10,160.28404235839844,120.21303176879883,0.4,T,T,Win,4,7,,10,0.0667572021484375,0.050067901611328125,0.6,T,H,Lose,7,4,,10,0.4673004150390625,0.3504753112792969,0.5,H,H,Win,6,5,,10,0.4673004150390625,0.3504753112792969,0.5,T,H,Lose,6,5,,10,1121.988296508789,841.4912223815918,0.7,H,T,Lose,8,3,,10,1121.988296508789,841.4912223815918,0.7,H,H,Win,8,3,,10,22.897720336914062,17.173290252685547,0.6,H,H,Win,7,4,,10,7853.918075561523,5890.438556671143,0.2,T,T,Win,2,9,,10,7853.918075561523,5890.438556671143,0.5,T,H,Lose,5,6,,10,22.897720336914062,17.173290252685547,0.6,T,H,Lose,7,4,
11,280.49707412719727,210.37280559539795,0.3,T,T,Win,4,8,,11,0.016689300537109375,0.012516975402832031,0.6,H,T,Lose,7,5,,11,0.8177757263183594,0.6133317947387695,0.5,T,T,Win,6,6,,11,0.11682510375976562,0.08761882781982422,0.6,T,H,Lose,7,5,,11,280.49707412719727,210.37280559539795,0.8,H,H,Win,9,3,,11,1963.4795188903809,1472.6096391677856,0.7,H,T,Lose,8,4,,11,40.07101058959961,30.053257942199707,0.6,H,T,Lose,7,5,,11,13744.356632232666,10308.2674741745,0.2,T,T,Win,2,10,,11,1963.4795188903809,1472.6096391677856,0.5,T,H,Lose,6,6,,11,5.724430084228516,4.293322563171387,0.6,H,T,Lose,7,5,
12,490.8698797225952,368.1524097919464,0.4,T,H,Lose,5,8,,12,0.004172325134277344,0.003129243850708008,0.6,T,H,Lose,8,5,,12,1.431107521057129,1.0733306407928467,0.5,H,H,Win,7,6,,12,0.029206275939941406,0.021904706954956055,0.5,H,T,Lose,7,6,,12,490.8698797225952,368.1524097919464,0.8,H,H,Win,10,3,,12,490.8698797225952,368.1524097919464,0.6,H,T,Lose,8,5,,12,10.017752647399902,7.513314485549927,0.5,T,T,Win,7,6,,12,24052.624106407166,18039.468079805374,0.2,T,T,Win,2,11,,12,490.8698797225952,368.1524097919464,0.5,H,H,Win,7,6,,12,1.431107521057129,1.0733306407928467,0.5,T,T,Win,7,6,
13,122.7174699306488,92.0381024479866,0.4,T,H,Lose,6,8,,13,0.001043081283569336,0.000782310962677002,0.6,H,H,Win,9,5,,13,2.5044381618499756,1.8783286213874817,0.5,H,T,Lose,7,7,,13,0.0073015689849853516,0.005476176738739014,0.5,T,T,Win,7,7,,13,859.0222895145416,644.2667171359062,0.8,H,H,Win,11,3,,13,122.7174699306488,92.0381024479866,0.6,H,H,Win,9,5,,13,17.53106713294983,13.148300349712372,0.6,H,H,Win,8,6,,13,42092.09218621254,31569.069139659405,0.1,T,T,Win,2,12,,13,859.0222895145416,644.2667171359062,0.6,T,H,Lose,8,6,,13,2.5044381618499756,1.8783286213874817,0.6,T,H,Lose,8,6,
14,30.6793674826622,23.00952561199665,0.5,T,H,Lose,7,8,,14,0.0018253922462463379,0.0013690441846847534,0.6,H,T,Lose,9,6,,14,0.6261095404624939,0.4695821553468704,0.5,T,H,Lose,8,7,,14,0.012777745723724365,0.009583309292793274,0.5,T,H,Lose,8,7,,14,1503.2890066504478,1127.4667549878359,0.8,H,H,Win,12,3,,14,214.7555723786354,161.06667928397655,0.6,H,T,Lose,9,6,,14,30.6793674826622,23.00952561199665,0.5,T,T,Win,8,7,,14,73661.16132587194,55245.87099440396,0.1,T,T,Win,2,13,,14,214.7555723786354,161.06667928397655,0.6,T,H,Lose,9,6,,14,0.6261095404624939,0.4695821553468704,0.5,T,T,Win,8,7,
15,7.66984187066555,5.752381402999163,0.4,T,T,Win,7,9,,15,0.00045634806156158447,0.00034226104617118835,0.6,H,H,Win,10,6,,15,0.15652738511562347,0.1173955388367176,0.5,T,T,Win,8,8,,15,0.0031944364309310913,0.0023958273231983185,0.6,T,H,Lose,9,7,,15,2630.7557616382837,1973.0668212287128,0.8,H,H,Win,13,3,,15,53.68889309465885,40.26666982099414,0.6,H,H,Win,10,6,,15,53.68889309465885,40.26666982099414,0.6,H,H,Win,9,7,,15,128907.0323202759,96680.27424020693,0.1,T,T,Win,2,14,,15,53.68889309465885,40.26666982099414,0.6,H,H,Win,10,6,,15,1.0956916958093643,0.8217687718570232,0.5,T,T,Win,8,8,
16,13.422223273664713,10.066667455248535,0.5,T,H,Lose,8,9,,16,0.0007986091077327728,0.0005989568307995796,0.6,H,H,Win,11,6,,16,0.2739229239523411,0.2054421929642558,0.5,H,H,Win,9,8,,16,0.0007986091077327728,0.0005989568307995796,0.5,T,T,Win,9,8,,16,4603.8225828669965,3452.8669371502474,0.8,H,H,Win,14,3,,16,93.95556291565299,70.46667218673974,0.6,H,T,Lose,10,7,,16,93.95556291565299,70.46667218673974,0.6,H,H,Win,10,7,,16,225587.30656048283,169190.47992036212,0.1,T,T,Win,2,15,,16,93.95556291565299,70.46667218673974,0.6,H,T,Lose,10,7,,16,1.9174604676663876,1.4380953507497907,0.5,H,T,Lose,8,9,
17,3.3555558184161782,2.5166668638121337,0.5,T,H,Lose,9,9,,17,0.0013975659385323524,0.0010481744538992643,0.6,H,T,Lose,11,7,,17,0.4793651169165969,0.35952383768744767,0.5,T,T,Win,9,9,,17,0.0013975659385323524,0.0010481744538992643,0.5,H,T,Lose,9,9,,17,8056.689520017244,6042.517140012933,0.8,H,H,Win,15,3,,17,23.488890728913248,17.616668046684936,0.6,H,H,Win,11,7,,17,164.42223510239273,123.31667632679455,0.6,H,H,Win,11,7,,17,394777.78648084495,296083.3398606337,0.2,T,H,Lose,3,15,,17,23.488890728913248,17.616668046684936,0.6,H,H,Win,11,7,,17,0.4793651169165969,0.35952383768744767,0.5,T,H,Lose,9,9,
18,0.8388889546040446,0.6291667159530334,0.5,T,H,Lose,10,9,,18,0.0003493914846330881,0.0002620436134748161,0.6,H,H,Win,12,7,,18,0.8388889546040446,0.6291667159530334,0.5,T,T,Win,9,10,,18,0.0003493914846330881,0.0002620436134748161,0.5,T,H,Lose,10,9,,18,14099.206660030177,10574.404995022633,0.8,H,T,Lose,15,4,,18,41.10555877559818,30.829169081698637,0.6,H,H,Win,12,7,,18,287.7389114291873,215.80418357189046,0.6,H,T,Lose,11,8,,18,98694.44662021124,74020.83496515843,0.2,T,T,Win,3,16,,18,41.10555877559818,30.829169081698637,0.6,H,H,Win,12,7,,18,0.11984127922914922,0.08988095942186192,0.5,H,T,Lose,9,10,
19,0.20972223865101114,0.15729167898825835,0.5,H,T,Lose,10,10,,19,0.0006114350981079042,0.00045857632358092815,0.6,H,T,Lose,12,8,,19,1.468055670557078,1.1010417529178085,0.5,H,T,Lose,9,11,,19,8.734787115827203e-05,6.551090336870402e-05,0.6,T,H,Lose,11,9,,19,3524.801665007544,2643.601248755658,0.8,H,H,Win,16,4,,19,71.93472785729682,53.951045892972616,0.6,H,T,Lose,12,8,,19,71.93472785729682,53.951045892972616,0.6,H,T,Lose,11,9,,19,172715.28158536967,129536.46118902725,0.2,T,H,Lose,4,16,,19,71.93472785729682,53.951045892972616,0.6,H,T,Lose,12,8,,19,0.029960319807287306,0.02247023985546548,0.5,T,H,Lose,10,10,
