,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss,0,Amount,Bet,Heads,Number,Predication,Probability,Result,Tails,Toss
10,10402.918600140796,104.02918600140796,7,10,H,0.6,Win,4,H,,10196.920212019197,101.96920212019197,5,10,H,0.5,Lose,6,T,,10196.920212019197,101.96920212019197,5,10,H,0.5,Lose,6,T,,9226.52419958477,92.2652419958477,2,10,H,0.2,Lose,9,T,,10196.920212019197,101.96920212019197,6,10,H,0.5,Win,5,H,,9995.000999900005,99.95000999900005,5,10,H,0.5,Win,6,H,,10402.9186001408,104.029186001408,6,10,H,0.5,Win,5,H,,9797.080188020798,97.97080188020799,6,10,H,0.5,Win,5,H,,10196.920212019197,101.96920212019197,5,10,H,0.5,Lose,6,T,,10402.918600140798,104.02918600140798,6,10,H,0.5,Lose,5,T
11,10506.947786142204,105.06947786142204,7,11,T,0.6,Win,5,T,,10094.951009899005,100.94951009899005,6,11,H,0.5,Win,6,H,,10094.951009899005,100.94951009899005,6,11,H,0.5,Win,6,H,,9134.258957588921,91.34258957588922,3,11,H,0.2,Win,9,H,,10298.889414139388,102.98889414139389,6,11,H,0.5,Lose,6,T,,10094.951009899005,100.94951009899005,6,11,H,0.5,Win,6,H,,10506.947786142207,105.06947786142207,7,11,H,0.6,Win,5,H,,9895.050989901007,98.95050989901007,6,11,H,0.5,Lose,6,T,,10094.951009899005,100.94951009899005,5,11,H,0.4,Lose,7,T,,10298.88941413939,102.9888941413939,7,11,H,0.6,Win,5,H
12,10612.017264003625,106.12017264003626,8,12,H,0.6,Win,5,H,,10195.900519997995,101.95900519997996,7,12,H,0.5,Win,6,H,,10195.900519997995,101.95900519997996,7,12,H,0.5,Win,6,H,,9225.601547164812,92.25601547164811,4,12,H,0.3,Win,9,H,,10195.900519997995,101.95900519997996,6,12,H,0.5,Lose,7,T,,10195.900519997995,101.95900519997996,6,12,H,0.5,Lose,7,T,,10612.017264003629,106.12017264003629,8,12,H,0.6,Win,5,H,,9796.100480001996,97.96100480001996,7,12,H,0.5,Win,6,H,,9994.001499800015,99.94001499800015,6,12,H,0.5,Win,7,H,,10401.878308280784,104.01878308280784,8,12,H,0.6,Win,5,H
13,10718.137436643661,107.18137436643661,9,13,T,0.6,Lose,5,H,,10297.859525197975,102.97859525197975,7,13,H,0.5,Lose,7,T,,10297.859525197975,102.97859525197975,7,13,H,0.5,Lose,7,T,,9317.85756263646,93.1785756263646,4,13,H,0.3,Lose,10,T,,10093.941514798014,100.93941514798014,7,13,H,0.5,Win,7,H,,10093.941514798014,100.93941514798014,6,13,H,0.4,Lose,8,T,,10718.137436643665,107.18137436643666,8,13,T,0.6,Win,6,T,,9894.061484802016,98.94061484802016,8,13,H,0.6,Win,6,H,,10093.941514798014,100.93941514798014,7,13,H,0.5,Win,7,H,,10505.897091363591,105.05897091363592,8,13,T,0.6,Win,6,T
14,10610.956062277224,106.10956062277225,10,14,T,0.7,Lose,5,H,,10194.880929945995,101.94880929945995,7,14,H,0.5,Lose,8,T,,10194.880929945995,101.94880929945995,7,14,H,0.5,Lose,8,T,,9224.678987010095,92.24678987010095,4,14,H,0.3,Lose,11,T,,10194.880929945995,101.94880929945995,7,14,H,0.5,Lose,8,T,,9993.002099650033,99.93002099650033,6,14,H,0.4,Lose,9,T,,10825.318811010102,108.25318811010102,9,14,H,0.6,Win,6,H,,9993.002099650035,99.93002099650036,8,14,H,0.5,Lose,7,T,,10194.880929945995,101.94880929945995,8,14,H,0.5,Win,7,H,,10610.956062277228,106.10956062277228,8,14,H,0.5,Lose,7,T
15,10504.846501654452,105.04846501654453,11,15,T,0.7,Lose,5,H,,10092.932120646536,100.92932120646536,7,15,H,0.4,Lose,9,T,,10092.932120646536,100.92932120646536,7,15,H,0.4,Lose,9,T,,9132.432197139993,91.32432197139994,4,15,H,0.2,Lose,12,T,,10092.932120646536,100.92932120646536,7,15,H,0.4,Lose,9,T,,9893.072078653533,98.93072078653533,7,15,H,0.4,Win,9,H,,10933.571999120202,109.33571999120203,9,15,T,0.6,Win,7,T,,9893.072078653535,98.93072078653535,9,15,H,0.6,Win,7,H,,10296.829739245455,102.96829739245456,8,15,H,0.5,Lose,8,T,,10504.846501654456,105.04846501654457,9,15,H,0.6,Win,7,H
16,10399.798036637907,103.99798036637907,11,16,T,0.6,Win,6,T,,9992.00279944007,99.9200279944007,8,16,H,0.5,Win,9,H,,9992.00279944007,99.9200279944007,7,16,H,0.4,Lose,10,T,,9041.107875168593,90.41107875168593,5,16,H,0.3,Win,12,H,,9992.00279944007,99.9200279944007,7,16,H,0.4,Lose,10,T,,9992.002799440068,99.92002799440068,8,16,H,0.5,Win,9,H,,11042.907719111405,110.42907719111405,10,16,H,0.6,Win,7,H,,9992.00279944007,99.9200279944007,10,16,H,0.6,Win,7,H,,10193.861441853001,101.93861441853002,8,16,H,0.5,Lose,9,T,,10609.894966671001,106.09894966671001,10,16,H,0.6,Win,7,H
17,10503.796017004286,105.03796017004287,12,17,T,0.7,Lose,6,H,,10091.922827434471,100.91922827434472,8,17,H,0.4,Lose,10,T,,9892.082771445668,98.92082771445668,7,17,H,0.4,Lose,11,T,,9131.518953920278,91.31518953920279,6,17,H,0.3,Win,12,H,,9892.082771445668,98.92082771445668,8,17,H,0.4,Win,10,H,,10091.922827434468,100.91922827434468,9,17,H,0.5,Win,9,H,,11153.33679630252,111.5333679630252,11,17,T,0.6,Lose,7,H,,10091.922827434471,100.91922827434472,11,17,T,0.6,Lose,7,H,,10091.922827434471,100.91922827434472,9,17,H,0.5,Win,9,H,,10715.993916337711,107.15993916337712,10,17,T,0.6,Win,8,T
18,10398.758056834244,103.98758056834244,12,18,T,0.6,Win,7,T,,9991.003599160127,99.91003599160128,8,18,H,0.4,Lose,11,T,,9793.161943731211,97.93161943731211,7,18,H,0.4,Lose,12,T,,9222.83414345948,92.22834143459481,6,18,H,0.3,Lose,13,T,,9991.003599160125,99.91003599160126,8,18,H,0.4,Lose,11,T,,10192.842055708812,101.92842055708812,10,18,H,0.5,Win,9,H,,11041.803428339494,110.41803428339495,11,18,T,0.6,Win,8,T,,9991.003599160127,99.91003599160128,11,18,T,0.6,Win,8,T,,10192.842055708816,101.92842055708816,9,18,H,0.5,Lose,10,T,,10823.153855501088,108.23153855501089,10,18,H,0.5,Lose,9,T
19,10502.745637402586,105.02745637402586,12,19,T,0.6,Win,8,T,,9891.093563168526,98.91093563168526,9,19,H,0.5,Win,11,H,,9695.2303242939,96.952303242939,8,19,H,0.4,Win,12,H,,9130.605802024886,91.30605802024886,6,19,H,0.3,Lose,14,T,,9891.093563168524,98.91093563168525,8,19,H,0.4,Lose,12,T,,10294.7704762659,102.947704762659,10,19,H,0.5,Lose,10,T,,11152.221462622889,111.52221462622889,11,19,T,0.6,Win,9,T,,10090.913635151728,100.90913635151729,11,19,T,0.6,Win,9,T,,10090.913635151728,100.90913635151729,9,19,H,0.5,Lose,11,T,,10714.922316946078,107.14922316946078,10,19,H,0.5,Lose,10,T
